R_AtSha16G	R_AtSha17G	R_AtSha18G	AtSha3G	Bulk1G	Bulk2G	Bulk3G	Bulk16G	Bulk17G	Bulk18G	AtLer17G	AtLer18G	AtSha16G	AtLer16G	AtSha17G	AtSha18G	AtLer4G	AtLer5G	AtLer6G	Bulk4G	Bulk5G	Bulk6G	R_AtLer5G	R_AtLer6G	AtLer34G	AtLer36G	AtSha34G	AtSha36G	R_AtLer34G	R_AtLer35G
OTU218	0	0	1	0	0	0	0	0	0	0	4	9	29	25	84	0	0	1	4	0	0	0	0	0	1	0	5	0	0	0
OTU391	0	0	1	0	0	0	0	0	0	0	0	0	14	1	1	0	3	13	3	0	0	0	0	0	0	0	0	0	0	0
OTU988	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU221	0	0	2	0	1	0	3	14	0	5	1	0	0	0	50	0	1	0	1	2	0	8	0	0	0	0	0	6	1	4
OTU337	0	0	1	0	2	0	0	10	2	2	2	0	0	0	66	0	0	0	1	2	3	0	1	2	0	0	0	0	1	0
OTU447	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	6	0	0	0	0	0	0	3	0	0	0	0	3
OTU367	0	0	4	0	0	1	0	0	2	4	2	5	0	0	1	21	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU1228	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU112	0	0	1	5	4	3	2	40	8	13	2	4	34	14	104	4	1	7	3	6	1	5	1	5	0	1	0	0	8	0
OTU533	0	0	1	0	0	0	0	21	0	13	0	0	9	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU36	0	0	1	8	0	0	0	1	0	0	40	39	177	137	284	54	33	9	141	2	0	0	0	8	26	22	28	13	2	0
OTU76	0	0	1	20	0	0	1	7	1	1	33	47	224	333	226	72	47	42	226	0	2	0	1	5	15	32	38	11	10	0
OTU157	0	0	1	0	0	0	1	1	0	1	1	2	31	2	50	5	3	2	11	0	0	0	0	0	12	3	9	17	0	0
OTU1173	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU721	0	0	1	0	1	0	0	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU1027	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU675	0	0	2	1	0	0	0	0	0	0	0	4	2	0	0	9	11	2	0	0	1	0	0	0	0	0	2	0	0	0
OTU944	0	0	1	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU248	0	0	1	0	0	9	0	0	0	1	35	23	2	8	14	55	1	0	0	0	1	0	0	2	0	1	0	2	0	0
OTU1264	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
OTU871	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	4	3	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU1031	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU928	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1183	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU608	0	0	1	0	0	3	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0
OTU415	0	0	2	0	0	0	2	15	1	5	0	0	0	0	10	0	0	1	0	0	3	4	0	0	10	0	0	0	0	0
OTU724	0	0	1	0	1	0	1	4	0	1	1	0	0	1	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU487	0	0	2	0	0	4	0	0	1	3	5	1	0	3	0	7	1	0	0	2	8	0	0	0	5	0	1	0	0	0
OTU961	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
OTU648	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU296	0	0	1	0	0	1	0	12	4	2	0	0	0	0	8	0	3	1	2	0	0	0	0	0	0	0	0	0	1	0
OTU20	0	0	2	71	0	0	1	4	0	0	120	182	719	392	590	126	34	17	130	0	0	0	2	2	136	54	32	4	7	1
OTU439	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
OTU350	0	0	1	1	0	0	1	3	0	1	5	3	15	26	69	3	4	7	10	0	1	1	0	0	2	9	2	4	0	0
OTU1278	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1069	0	0	1	1	0	0	0	2	0	0	15	15	92	24	23	33	0	0	28	0	2	0	0	1	5	4	2	0	0	0
OTU182	0	0	1	4	0	2	2	4	2	4	0	1	12	1	22	2	2	1	5	6	0	0	0	4	0	0	0	1	0	0
OTU1212	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
OTU136	0	0	1	1	0	10	0	0	0	0	9	37	3	12	6	58	0	0	0	0	2	0	0	0	26	0	7	13	0	1
OTU206	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0
OTU658	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
OTU1426	0	0	1	0	0	0	0	0	0	0	1	0	7	2	1	0	1	0	8	0	0	0	0	2	0	6	6	0	1	0
OTU384	0	0	1	0	0	0	0	7	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU922	0	0	1	9	0	0	0	0	0	0	1	0	15	12	17	2	0	0	8	0	0	0	0	0	12	5	9	16	0	0
OTU708	0	0	1	0	0	0	0	0	0	0	1	2	9	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU955	0	0	2	0	0	0	0	0	0	0	1	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1153	0	0	2	0	0	1	0	2	0	1	0	0	5	6	6	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU686	0	0	1	0	0	2	0	0	0	0	1	7	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
OTU429	0	0	1	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
OTU101	0	0	1	0	0	0	0	0	0	1	3	0	270	5	18	3	1	43	3	0	0	0	3	0	0	0	0	5	0	0
OTU902	0	0	1	3	0	23	1	0	2	2	7	3	9	4	6	32	0	0	0	3	2	0	0	0	0	0	0	0	0	0
OTU870	0	0	1	0	0	0	0	2	0	2	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
OTU1164	0	0	1	0	1	0	0	8	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1145	0	0	1	1	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU761	0	0	1	0	0	2	0	0	0	0	2	5	0	0	0	5	1	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU64	0	0	1	12	0	0	1	7	1	1	166	82	123	143	275	35	24	66	671	0	0	0	0	10	62	81	27	37	2	0
OTU372	0	0	1	0	0	1	1	12	0	3	4	5	19	10	19	5	1	0	2	0	0	1	1	9	0	1	4	6	0	0
OTU441	0	0	1	0	0	0	0	0	0	0	4	8	2	2	3	42	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU1110	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1206	0	0	1	1	0	13	0	0	0	1	5	11	1	0	4	10	0	0	0	3	2	0	0	0	1	0	0	0	0	0
OTU1339	0	0	1	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU970	0	0	1	4	0	3	0	0	0	0	1	8	1	0	1	10	2	0	0	1	2	0	0	0	0	0	0	0	0	0
OTU996	0	0	1	0	0	0	0	0	0	0	1	0	0	0	6	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0
